Hyundai MOBIS Global Application Development Head,"['https://in.linkedin.com/in/narendra-dhenuvakonda-283a9715', 'https://in.linkedin.com/in/umangsharmaofficial', 'https://in.linkedin.com/in/pradeep-kumar-kondabattini-727a0742', 'https://in.linkedin.com/in/nandakumarav-65176016', 'https://in.linkedin.com/in/nukalaashok']"
Hyundai MOBIS Global Offshoring Head,"['https://in.linkedin.com/in/siva-shyam-kumar-8b8b1a58', 'https://in.linkedin.com/in/dr-gururaj-arvind-gumaste-3b08a544?trk=public_post_main-feed-card-text', 'https://in.linkedin.com/in/karthick-raja-3ba262188', 'https://in.linkedin.com/in/madhusudhan-yenuguthati-8812b327', 'https://in.linkedin.com/in/akanksha-ojha-aa5b5a38']"
Hyundai MOBIS Global ESG Head,"['https://in.linkedin.com/in/balamurugan-e-27146a96', 'https://in.linkedin.com/in/pradeep-kumar-kondabattini-727a0742', 'https://in.linkedin.com/in/prem-sai-00ab2322']"
Synapse Design Inc. Global GCC Head,"['https://in.linkedin.com/in/sachinverma7', 'https://in.linkedin.com/in/jigarganatra254', 'https://in.linkedin.com/in/vijaykumar-ms-44635420', 'https://in.linkedin.com/in/diwakar-chintha-948b3360', 'https://in.linkedin.com/in/nanjunde-gowda-baba4332']"
Synapse Design Inc. Global GIC Head,"['https://in.linkedin.com/in/manish-tiwari-01446768', 'https://in.linkedin.com/in/surajkrishnaswamy', 'https://in.linkedin.com/in/udit-maheshwari-33946532']"
Synapse Design Inc. Global Global Development Centre Head,"['https://in.linkedin.com/company/synapse-design-automation-inc', 'https://in.linkedin.com/in/ashwath-banjagere-6855351a', 'https://in.linkedin.com/in/dhaval-shah-5a91bb11', 'https://in.linkedin.com/in/mangesh2604', 'https://in.linkedin.com/in/preeti-narayankar-333baa8']"
Synapse Design Inc. Global Country Head,"['https://in.linkedin.com/in/sachinverma7', 'https://in.linkedin.com/in/preeti-narayankar-333baa8', 'https://in.linkedin.com/in/srujan-yerramothu-4234663a', 'https://in.linkedin.com/in/jonackjgupta', 'https://in.linkedin.com/in/ruchirashukla']"
Synapse Design Inc. Global Site Head,[]
Synapse Design Inc. Global Centre Head,"['https://in.linkedin.com/company/synapse-design-automation-inc', 'https://in.linkedin.com/in/sachinverma7', 'https://in.linkedin.com/in/preeti-narayankar-333baa8', 'https://in.linkedin.com/in/dhaval-shah-5a91bb11', 'https://in.linkedin.com/in/ashwath-banjagere-6855351a']"
Synapse Design Inc. Global CTO,"['https://in.linkedin.com/in/dhaval-shah-5a91bb11', 'https://in.linkedin.com/in/sagar-doshi-0ba98743', 'https://in.linkedin.com/in/dmanivel']"
Vistex Global ESG Head,[]
Hyundai MOBIS Global GCC Head,"['https://in.linkedin.com/company/hyundaimobismiddleeast?trk=public_profile_topcard-current-company', 'https://in.linkedin.com/in/gaurav-mittal-26a3298', 'https://in.linkedin.com/in/sharvesh', 'https://in.linkedin.com/in/nandakumarav-65176016', 'https://in.linkedin.com/in/pradeep-kumar-kondabattini-727a0742']"
Hyundai MOBIS Global GIC Head,"['https://in.linkedin.com/in/muskan-shrivastava01', 'https://in.linkedin.com/in/bhaskar-p-86a53113b', 'https://in.linkedin.com/in/ashish-semwal-73b9452a', 'https://in.linkedin.com/in/bijoy-mukherjee-5a842554', 'https://in.linkedin.com/in/rahuldeep09']"
Hyundai MOBIS Global Global Development Centre Head,"['https://in.linkedin.com/in/pradeep-kumar-kondabattini-727a0742', 'https://in.linkedin.com/company/mobis-india-hyundai-motor', 'https://in.linkedin.com/in/gaurav-mittal-26a3298', 'https://in.linkedin.com/in/sharvesh', 'https://in.linkedin.com/in/sjeelanibasha']"
Hyundai MOBIS Global Country Head,"['https://in.linkedin.com/in/sharvesh', 'https://in.linkedin.com/in/mahesh-sonawane-30b49b137', 'https://in.linkedin.com/in/skkings', 'https://in.linkedin.com/in/gaurav-shankar-a0734621']"
Hyundai MOBIS Global Site Head,"['https://in.linkedin.com/company/hyundai-mobis?trk=public_profile_experience-group-header', 'https://in.linkedin.com/in/mahesh-sonawane-30b49b137', 'https://in.linkedin.com/company/hyundaimobisin', 'https://in.linkedin.com/in/chetan-prakash-3b032977', 'https://in.linkedin.com/in/sharvesh']"
Hyundai MOBIS Global Centre Head,"['https://in.linkedin.com/company/hyundai-mobis?trk=public_profile_experience-group-header', 'https://in.linkedin.com/in/pradeep-kumar-kondabattini-727a0742', 'https://in.linkedin.com/in/mahesh-sonawane-30b49b137', 'https://in.linkedin.com/in/sarvesh-shukla-bb82ba18', 'https://in.linkedin.com/in/edward-cho-ba5228130']"
Hyundai MOBIS Global CTO,"['https://in.linkedin.com/in/sharvesh', 'https://in.linkedin.com/in/shenthil-rajkumar-673b1b57', 'https://in.linkedin.com/in/s-r-murralidharan', 'https://in.linkedin.com/in/sreedaran-p?trk=public_profile_browsemap_profile-result-card_result-card_full-click', 'https://in.linkedin.com/in/ik-hwan-kim-4a89257a']"
Hyundai MOBIS Global CIO,"['https://in.linkedin.com/in/sharvesh', 'https://in.linkedin.com/in/gopi-p-428b9220', 'https://in.linkedin.com/in/vinayagamoorthy-perumal-628351178']"
Hyundai MOBIS Global HR Head,"['https://in.linkedin.com/in/rajasekkar', 'https://in.linkedin.com/in/chetan-prakash-3b032977', 'https://in.linkedin.com/in/gopi-krishna-p-b7394137', 'https://in.linkedin.com/in/prem-sai-00ab2322', 'https://in.linkedin.com/in/devender-singh-4628752b']"
Hyundai MOBIS Global Chief Marketing Officer,"['https://in.linkedin.com/in/mishail-gupta-502051106', 'https://in.linkedin.com/in/prabhas-singh-93a97571', 'https://in.linkedin.com/in/srinivas-panda-75827625', 'https://in.linkedin.com/company/hyundai-mobis']"
Hyundai MOBIS Global Talent Acquistion Head,"['https://in.linkedin.com/in/chetan-prakash-3b032977', 'https://in.linkedin.com/in/gopi-krishna-p-b7394137', 'https://in.linkedin.com/in/rajasekkar', 'https://in.linkedin.com/in/devender-singh-4628752b', 'https://in.linkedin.com/in/janardhan-reddy-dubba-02b12121a']"
Hyundai MOBIS Global Offshoring Head,"['https://in.linkedin.com/in/siva-shyam-kumar-8b8b1a58', 'https://in.linkedin.com/in/dr-gururaj-arvind-gumaste-3b08a544?trk=public_post_main-feed-card-text', 'https://in.linkedin.com/in/karthick-raja-3ba262188', 'https://in.linkedin.com/in/madhusudhan-yenuguthati-8812b327']"
Hyundai MOBIS Global IT Commercial Head,"['https://in.linkedin.com/in/gopi-p-428b9220', 'https://in.linkedin.com/company/hyundaimobisin', 'https://in.linkedin.com/in/sharvesh', 'https://in.linkedin.com/in/gaurav-mittal-26a3298', 'https://in.linkedin.com/in/gaurav-shankar-a0734621']"
